index,H3_int_index_8,count,geometry,alpha_num,label,H3_str
1,614953740708872191,69214,"POLYGON ((106.9242462183485 -6.101920231382633, 106.9247734945417 -6.097149139350843, 106.9208088055099 -6.094539122638732, 106.9163167515699 -6.096700393090921, 106.9157895733973 -6.101471634307634, 106.919754351135 -6.104081455896017, 106.9242462183485 -6.101920231382633))",888c12b443fffff,RB_berth_1,888c12b443fffff
3,614953741346406399,24368,"POLYGON ((106.8803776438537 -6.113989876613303, 106.8809043870074 -6.109218681754995, 106.8769383097854 -6.106608437930001, 106.8724454012172 -6.108769583975752, 106.87191875626 -6.113540927519532, 106.8758849216655 -6.116150976340888, 106.8803776438537 -6.113989876613303))",888c12b6a3fffff,RB_berth_1,888c12b6a3fffff
4,614953741350600703,142519,"POLYGON ((106.8853970913409 -6.107057530182542, 106.8859239048696 -6.102286088546635, 106.8819579158939 -6.099675649715447, 106.8774650251342 -6.101836847535157, 106.8769383097854 -6.106608437930001, 106.8809043870074 -6.109218681754995, 106.8853970913409 -6.107057530182542))",888c12b6a7fffff,RB_berth_1,888c12b6a7fffff
9,614953740723552255,55372,"POLYGON ((106.9107703932616 -6.108403848398189, 106.911297501116 -6.103632853568003, 106.9073324203534 -6.101022877601018, 106.9028401431835 -6.103184091565494, 106.902313133402 -6.10795523541905, 106.9062783027085 -6.110565016293537, 106.9107703932616 -6.108403848398189))",888c12b451fffff,RB_berth_1,888c12b451fffff
11,614953740658540543,449,"POLYGON ((106.8869775745094 -6.092742563219723, 106.8875044306215 -6.087970479634732, 106.8835383156786 -6.085359496643751, 106.8790452563416 -6.087520792228974, 106.8785184984118 -6.09229302463163, 106.8824847016277 -6.094903812640187, 106.8869775745094 -6.092742563219723))",888c12b413fffff,RB_berth_1,888c12b413fffff
15,614953741361086463,17909,"POLYGON ((106.8668992553941 -6.120473118140315, 106.867425829953 -6.115702021618175, 106.8634593622958 -6.113091818541794, 106.8589662320494 -6.115252906968617, 106.8584397557393 -6.120024152014569, 106.8624063114178 -6.122634160118692, 106.8668992553941 -6.120473118140315))",888c12b6b1fffff,RB_berth_1,888c12b6b1fffff
19,614953740729843711,124393,"POLYGON ((106.9073324203534 -6.101022877601018, 106.9078595004699 -6.096251487287452, 106.9038942053336 -6.093641161920863, 106.8994017415642 -6.095802421942873, 106.8988747595396 -6.100573961265165, 106.9028401431835 -6.103184091565494, 106.9073324203534 -6.101022877601018))",888c12b457fffff,RB_berth_1,888c12b457fffff
20,614953740849381375,93860,"POLYGON ((106.8769383097854 -6.106608437930001, 106.8774650251342 -6.101836847535157, 106.8734987337082 -6.099226254506526, 106.8690056387773 -6.101387446858944, 106.8684790216441 -6.106159185924526, 106.8724454012172 -6.108769583975752, 106.8769383097854 -6.106608437930001))",888c12b4c9fffff,RB_berth_1,888c12b4c9fffff
29,614953741373669375,497,"POLYGON ((106.8753582488934 -6.120921924251014, 106.8758849216655 -6.116150976340888, 106.87191875626 -6.113540927519532, 106.867425829953 -6.115702021618175, 106.8668992553941 -6.120473118140315, 106.87086550892 -6.123082971960599, 106.8753582488934 -6.120921924251014))",888c12b6bdfffff,RB_berth_1,888c12b6bdfffff
33,614953740648054783,66176,"POLYGON ((106.9208088055099 -6.094539122638732, 106.9213360539942 -6.089767635206179, 106.9173711505081 -6.087157269046713, 106.912878909859 -6.08931858542606, 106.9123517594142 -6.094090222028935, 106.9163167515699 -6.096700393090921, 106.9208088055099 -6.094539122638732))",888c12b409fffff,RB_berth_1,888c12b409fffff
34,614953740727746559,88261,"POLYGON ((106.9157895733973 -6.101471634307634, 106.9163167515699 -6.096700393090921, 106.9123517594142 -6.094090222028935, 106.9078595004699 -6.096251487287452, 106.9073324203534 -6.101022877601018, 106.911297501116 -6.103632853568003, 106.9157895733973 -6.101471634307634))",888c12b455fffff,RB_berth_1,888c12b455fffff
35,614953741348503551,152120,"POLYGON ((106.8938553659875 -6.107506462679702, 106.8943822776604 -6.102735169890904, 106.8904165912788 -6.100124885302489, 106.8859239048696 -6.102286088546635, 106.8853970913409 -6.107057530182542, 106.8893628660681 -6.109667619735984, 106.8938553659875 -6.107506462679702))",888c12b6a5fffff,RB_berth_1,888c12b6a5fffff
47,614953740664831999,156246,"POLYGON ((106.8988747595396 -6.100573961265165, 106.8994017415642 -6.095802421942873, 106.895436143591 -6.093191942316974, 106.8909434751758 -6.095353197059628, 106.8904165912788 -6.100124885302489, 106.8943822776604 -6.102735169890904, 106.8988747595396 -6.100573961265165))",888c12b419fffff,RB_berth_1,888c12b419fffff
52,614953741365280767,49149,"POLYGON ((106.87191875626 -6.113540927519532, 106.8724454012172 -6.108769583975752, 106.8684790216441 -6.106159185924526, 106.8639859090207 -6.108320326400724, 106.8634593622958 -6.113091818541794, 106.867425829953 -6.115702021618175, 106.87191875626 -6.113540927519532))",888c12b6b5fffff,RB_berth_1,888c12b6b5fffff
55,614953741367377919,12201,"POLYGON ((106.8634593622958 -6.113091818541794, 106.8639859090207 -6.108320326400724, 106.8600192272404 -6.105709774168618, 106.8555259107413 -6.107870909032421, 106.8549994622842 -6.112642549682542, 106.8589662320494 -6.115252906968617, 106.8634593622958 -6.113091818541794))",888c12b6b7fffff,RB_berth_1,888c12b6b7fffff
59,614953740666929151,441763,"POLYGON ((106.8904165912788 -6.100124885302489, 106.8909434751758 -6.095353197059628, 106.8869775745094 -6.092742563219723, 106.8824847016277 -6.094903812640187, 106.8819579158939 -6.099675649715447, 106.8859239048696 -6.102286088546635, 106.8904165912788 -6.100124885302489))",888c12b41bfffff,RB_berth_1,888c12b41bfffff
66,614953740853575679,39125,"POLYGON ((106.8819579158939 -6.099675649715447, 106.8824847016277 -6.094903812640187, 106.8785184984118 -6.09229302463163, 106.8740254212431 -6.094454268687061, 106.8734987337082 -6.099226254506526, 106.8774650251342 -6.101836847535157, 106.8819579158939 -6.099675649715447))",888c12b4cdfffff,RB_berth_1,888c12b4cdfffff
